Summary,Issue Type,Priority,Epic Name,Epic Link,Component/s,Labels,Assignee,Original Estimate,Description
[NOTI-007] 알림 페이지 UI 구현,Story,Highest,,알림,알림 페이지,Must,tr9273@naver.com,16,알림 목록 / 유형별 아이콘 / 미읽음 인디케이터 / 전체 읽음 / 헤더 배지
[NOTI-008] 알림 도메인 단위 테스트 및 UI 테스트,Task,Highest,,알림,테스트,Must,tr9273@naver.com,8,알림 도메인 단위 테스트 + 알림 페이지 UI 테스트
[ADMIN-001] Admin role 검증 미들웨어 구현,Task,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,role=admin 권한 체크 필터
[ADMIN-002] 신고 목록 조회 Admin API 구현,Story,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,GET /admin/reports
[ADMIN-003] 게시물 강제 블라인드 Admin API 구현,Story,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,PATCH /admin/posts/{post_id}/blind
[ADMIN-004] 블라인드 해제 Admin API 구현,Story,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,PATCH /admin/posts/{post_id}/unblind
[ADMIN-005] 악성 유저 정지 Admin API 구현,Story,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,PATCH /admin/users/{user_id}/suspend (is_active=false)
[ADMIN-006] 크레딧 수동 지급 Admin API 구현,Story,High,,관리자,관리자,Should,lwseok0516@gmail.com,4,POST /admin/users/{user_id}/credits
[QA-001] 주요 도메인 간 API 통합 시나리오 테스트,Task,Highest,,QA/통합,통합 테스트,Must,,16,시착→게시물→피드 흐름 통합 테스트
[QA-002] End-to-End 시나리오 테스트 수행,Task,Highest,,QA/통합,통합 테스트,Must,,16,주요 사용자 시나리오 E2E 테스트 (브라우저 기반)
[QA-003] 크로스 브라우저/모바일 반응형 QA,Task,Highest,,QA/통합,전체 QA,Must,,12,Chrome/Safari/Firefox + 모바일 뷰포트 반응형 테스트
[QA-004] 전체 기능 QA 수행 및 버그 수정,Task,Highest,,QA/통합,전체 QA,Must,,24,MVP 출시 전 전체 QA
